route,template,lang,viewport,width,height,overflow_px,console_errors,status
/en/sponsors,sponsors,en,tablet-landscape,1024,768,0,0,ok
/en/contributors,contributors,en,tablet-landscape,1024,768,0,0,ok
/en/verticals,verticals-list,en,tablet-landscape,1024,768,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,tablet-landscape,1024,768,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,tablet-landscape,1024,768,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,tablet-landscape,1024,768,0,0,ok
/en/blog,blog-listing,en,tablet-landscape,1024,768,0,0,ok
/blog,blog-listing,es,tablet-landscape,1024,768,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,tablet-landscape,1024,768,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,tablet-landscape,1024,768,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,tablet-landscape,1024,768,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,tablet-landscape,1024,768,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,tablet-landscape,1024,768,0,0,ok
/en/meetups,meetups-list,en,tablet-landscape,1024,768,0,0,ok
/meetups,meetups-list,es,tablet-landscape,1024,768,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,tablet-landscape,1024,768,0,0,ok
/meetups/september-meetup-2026,meetup-detail-planned,es,tablet-landscape,1024,768,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,tablet-landscape,1024,768,0,0,ok
